id,turnpike_id,name,has_entry,has_exit
1,1,"US 69",1,1
2,1,"Loc Grove-SH 82",1,1
3,1,"Leach-US 412",1,1
4,1,"Kansas-SH 10",1,1
5,1,"Flint Bridge/State Line",1,1
6,2,"US 177-Sulphur",1,1
7,2,"Roff ML",1,1
8,2,"SH-7",1,1
9,3,"I-35",1,1
10,3,"US 177",1,1
11,3,"Morrison-US 64",1,1
12,3,"Stillwater",1,1
13,3,"Pawnee-SH 18",1,1
14,3,"Hallet-SH 99",1,1
15,3,"US 64/SH 48-Tulsa",1,1
16,4,"Turner Tpk",1,1
17,4,"Sapulpa-SH 66",1,1
18,4,"Hickory Hill",1,1
19,4,"S 49th W Ave",1,1
20,4,"US 75-Glenpool",1,1
21,4,"Peoria-Elm",1,1
22,4,"Riverside Pwky/Delaware",1,1
23,4,"Yale",1,1
24,4,"Mingo V-US 64",1,1
25,4,"Olive-129th",1,1
26,4,"145th-Aspen",1,1
27,4,"Elm PL-161st",1,1
28,4,"County Line-193rd",1,1
29,4,"New Orleans-101st",1,1
30,4,"Muskogee Tpk",1,1
31,4,"Kenosha-71st",1,1
32,4,"51st-Omaha",1,1
33,4,"31st St",1,1
34,4,"11th St",1,1
35,4,"412-Admiral Brg",1,1
36,4,"BA Expwy-SH 51",1,1
37,4,"Oklahoma City",1,1
38,4,"Luther",1,1
39,4,"Wellston-SH 66",1,1
40,4,"Chandler-SH 18",1,1
41,4,"Stroud-SH 99",1,1
42,4,"Bristow-SH 66",1,1
43,4,"Kellyville-SH 33",1,1
44,4,"Sapulpa-SH 97",1,1
45,5,"SH 9 US 62/277",1,1
46,5,"SH 76",1,1
47,5,"SH 4",1,1
48,5,"I 44-Oklahoma City",1,1
49,5,"Chickasha / US 62",1,1
50,5,"US 81 / Chickasha",1,1
51,5,"Cyril",1,1
52,5,"Elgin-US 62/277",1,1
53,5,"Lawton",1,1
54,5,"Walters",1,1
55,5,"State Line",1,1
56,6,"I 40-Henryetta",1,1
57,6,"SH 9-Eufaula",1,1
58,6,"Ulan",1,1
59,6,"US 270-McAlester",1,1
60,6,"US 69-McAlester",1,1
61,6,"SH 43-Daisy",1,1
62,6,"SH 3-Antlers",1,1
63,6,"Hugo",1,1
64,7,"I-35",1,1
65,7,"Eastern",1,1
66,7,"Brdwy Ext-US 77",1,1
67,7,"Western",1,1
68,7,"Pennsylvania",1,1
69,7,"May Ave",1,1
70,7,"Hefner Pkwy",1,1
71,7,"Portland-SH 74",1,1
72,7,"Meridian",1,1
73,7,"MacArthur",1,1
74,7,"Rockwell",1,1
75,7,"Council",1,1
76,7,"NW Exp-SH 3",1,1
77,7,"Wilshire",1,1
78,7,"39th Exp-SH 66",1,1
79,7,"NW 10th",1,1
80,7,"I 40-SW 15th",1,1
81,8,"Tulsa/Creek TPK ",1,1
82,8,"SH 51-Coweta",1,1
83,8,"Porter",1,1
84,8,"US 69/Wagoner",1,1
85,8,"US 62-Muskogee",1,1
86,8,"US 64-Webber Falls",1,1
87,8,"I 40",1,1
88,9,"Oklahoma City",1,1
89,9,"Luther",1,1
90,9,"Wellston-SH 66",1,1
91,9,"Chandler-SH 18",1,1
92,9,"Stroud-SH 99",1,1
93,9,"Bristow-SH 66",1,1
94,9,"Kellyville-SH 33",1,1
95,9,"Sapulpa-SH 97",1,1
96,9,"Tulsa",1,1
97,9,"Hickory Hill",1,1
98,9,"US 75-Glenpool",1,1
99,9,"Peoria-Elm",1,1
100,9,"Riverside Pwky/Delaware",1,1
101,9,"Yale",1,1
102,9,"Mingo V-US 64",1,1
103,9,"Olive-129th",1,1
104,9,"145th-Aspen",1,1
105,9,"Elm PL-161st",1,1
106,9,"County Line-193rd",1,1
107,9,"New Orleans-101st",1,1
108,9,"BA Expwy-SH 51",1,1
109,9,"Muskogee Tpk",1,1
110,9,"Kenosha-71st",1,1
111,9,"51st-Omaha",1,1
112,9,"31st St",1,1
113,9,"11th St",1,1
114,9,"412-Admiral Brg",1,1
115,10,"Tulsa",1,1
116,10,"SH-266",1,1
117,10,"Claremore-SH 20",1,1
118,10,"Adair-SH 28",1,1
119,10,"Big Cabin-US 69",1,1
120,10,"Vinita-US 60",1,1
121,10,"Afton-US 60",1,1
122,10,"Miami-SH 10",1,1
123,10,"State Line",1,1
