id,turnpike_id,entry_id,exit_id,axles,cash_toll,disc_toll
1,1,1,2,2,0.50,0.30
2,1,1,2,3,0.75,0.55
3,1,1,2,4,1.50,0.95
4,1,1,2,5,1.75,1.50
5,1,1,2,6,2.25,1.75
6,1,1,3,2,1.75,1.50
7,1,1,3,3,2.50,2.05
8,1,1,3,4,3.00,2.80
9,1,1,3,5,4.75,4.50
10,1,1,3,6,5.75,5.40
11,1,1,4,2,3.00,2.45
12,1,1,4,3,4.50,3.35
13,1,1,4,4,6.25,4.60
14,1,1,4,5,10.25,8.05
15,1,1,4,6,12.25,9.65
16,1,1,5,2,3.00,2.80
17,1,1,5,3,4.50,3.95
18,1,1,5,4,6.25,5.40
19,1,1,5,5,10.25,9.55
20,1,1,5,6,12.25,11.40
21,1,2,1,2,0.50,0.30
22,1,2,1,3,0.75,0.55
23,1,2,1,4,1.50,0.95
24,1,2,1,5,1.75,1.50
25,1,2,1,6,2.25,1.75
26,1,2,3,2,1.75,0.95
27,1,2,3,3,2.50,1.35
28,1,2,3,4,3.00,1.85
29,1,2,3,5,4.75,3.25
30,1,2,3,6,5.75,3.80
31,1,2,4,2,3.00,2.05
32,1,2,4,3,4.50,2.05
33,1,2,4,4,6.25,3.75
34,1,2,4,5,10.25,6.65
35,1,2,4,6,12.25,7.95
36,1,2,5,2,3.00,2.45
37,1,2,5,3,4.50,3.35
38,1,2,5,4,6.25,4.60
39,1,2,5,5,10.25,8.05
40,1,2,5,6,12.25,9.65
41,1,3,1,2,1.75,1.50
42,1,3,1,3,2.50,2.05
43,1,3,1,4,3.00,2.80
44,1,3,1,5,4.75,4.50
45,1,3,1,6,5.75,5.40
46,1,3,2,2,1.75,0.95
47,1,3,2,3,2.50,1.35
48,1,3,2,4,3.00,1.85
49,1,3,2,5,4.75,3.25
50,1,3,2,6,5.75,3.80
51,1,3,4,2,3.00,1.00
52,1,3,4,3,4.50,1.40
53,1,3,4,4,6.25,2.00
54,1,3,4,5,10.25,3.45
55,1,3,4,6,12.25,4.15
56,1,3,5,2,3.00,1.40
57,1,3,5,3,4.50,2.05
58,1,3,5,4,6.25,2.80
59,1,3,5,5,10.25,4.60
60,1,3,5,6,12.25,5.55
61,1,4,1,2,3.00,2.45
62,1,4,1,3,4.50,3.35
63,1,4,1,4,6.25,4.60
64,1,4,1,5,10.25,8.05
65,1,4,1,6,12.25,9.65
66,1,4,2,2,3.00,2.05
67,1,4,2,3,4.50,2.05
68,1,4,2,4,6.25,3.75
69,1,4,2,5,10.25,6.65
70,1,4,2,6,12.25,7.95
71,1,4,3,2,3.00,1.00
72,1,4,3,3,4.50,1.40
73,1,4,3,4,6.25,2.00
74,1,4,3,5,10.25,3.45
75,1,4,3,6,12.25,4.15
76,1,4,5,2,0.50,0.30
77,1,4,5,3,0.75,0.55
78,1,4,5,4,1.50,0.85
79,1,4,5,5,2.25,1.50
80,1,4,5,6,2.75,1.75
81,1,5,1,2,3.00,2.80
82,1,5,1,3,4.50,3.95
83,1,5,1,4,6.25,5.40
84,1,5,1,5,10.25,9.55
85,1,5,1,6,12.25,11.40
86,1,5,2,2,3.00,2.45
87,1,5,2,3,4.50,3.35
88,1,5,2,4,6.25,4.60
89,1,5,2,5,10.25,8.05
90,1,5,2,6,12.25,9.65
91,1,5,3,2,3.00,1.40
92,1,5,3,3,4.50,2.05
93,1,5,3,4,6.25,2.80
94,1,5,3,5,10.25,4.60
95,1,5,3,6,12.25,5.55
96,1,5,4,2,0.50,0.30
97,1,5,4,3,0.75,0.55
98,1,5,4,4,1.50,0.85
99,1,5,4,5,2.25,1.50
100,1,5,4,6,2.75,1.75
101,2,6,7,2,0.75,0.65
102,2,6,7,3,0.90,0.85
103,2,6,7,4,1.75,1.35
104,2,6,7,5,2.90,2.20
105,2,6,7,6,2.90,2.40
106,2,7,6,2,0.75,0.65
107,2,7,6,3,0.90,0.85
108,2,7,6,4,1.75,1.35
109,2,7,6,5,2.90,2.20
110,2,7,6,6,2.90,2.40
111,2,7,8,2,0.75,0.65
112,2,7,8,3,0.90,0.85
